% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/11/10 16:37:08
% Demod 1 Sample R, /dev646/demods/0/sample.R
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample R  Amplitude (V); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
24495.69317199601; 0.12211973535; -0.0175242446957; -0.120855825717
24500.11921485541; 0.122637439959; -0.0185998322826; -0.121218760589
24504.54525771482; 0.123144238801; -0.0197616887778; -0.121548258755
24508.97130057423; 0.123633137757; -0.0210148625224; -0.121834019489
24513.39734343364; 0.12410021361; -0.022367602743; -0.12206782281
24517.82338629304; 0.124537138417; -0.0238147410426; -0.122238933872
24522.24942915245; 0.124918247006; -0.0253740271366; -0.122314051449
24526.67547201186; 0.125244291157; -0.0270449951586; -0.122289413705
24531.10151487126; 0.125488839356; -0.0288108653707; -0.122136738288
24535.52755773067; 0.125636255801; -0.0306798993826; -0.121832723624
24539.95360059008; 0.125664966965; -0.032643223967; -0.12135115925
24544.37964344949; 0.125558214434; -0.0346752668209; -0.120675146914
24548.80568630889; 0.125272388257; -0.0367612228672; -0.119757186644
24553.2317291683; 0.124775072351; -0.0388680858502; -0.118566819062
24557.65777202771; 0.124063711144; -0.0409590979946; -0.117107457979
24562.08381488712; 0.123074863716; -0.0429718327474; -0.115329283658
24566.50985774652; 0.121815948412; -0.0448646555962; -0.113253202894
24570.93590060593; 0.120249045963; -0.0465710191724; -0.110864661765
24575.36194346534; 0.11837772939; -0.0480164095878; -0.108202177547
24579.78798632474; 0.116210817615; -0.0491512660364; -0.105304829793
24584.21402918415; 0.113763176621; -0.0499200159795; -0.1022254976
24588.64007204356; 0.111069676779; -0.0502793046545; -0.0990376929413
24593.06611490297; 0.108179110617; -0.0502210944065; -0.0958152474845
24597.49215776237; 0.105163568924; -0.0497429380063; -0.0926553632946
24601.91820062178; 0.102075526292; -0.048865226581; -0.0896192094302
24606.34424348118; 0.0990031120712; -0.0476388800648; -0.0867879790407
24610.77028634059; 0.0959986208631; -0.0461117177002; -0.0841988402435
24615.1963292; 0.0931498735533; -0.0443545515047; -0.0819119814423
24619.62237205941; 0.090479535417; -0.0424299463662; -0.0799139911444
24624.04841491881; 0.0880478714833; -0.0403872455006; -0.0782387248977
24628.47445777822; 0.0858663413559; -0.0382973478055; -0.0768527275307
24632.90050063763; 0.0839519524642; -0.036203938624; -0.0757443407171
24637.32654349703; 0.0823081597364; -0.0341366026892; -0.0748954305417
24641.75258635644; 0.0809240794377; -0.032128472745; -0.0742729282573
24646.17862921585; 0.0797830977819; -0.0301984407941; -0.0738471181922
24650.60467207526; 0.0788663570981; -0.0283620958736; -0.0735900387253
24655.03071493466; 0.0781497609355; -0.0266311387127; -0.0734722232217
24659.45675779407; 0.0776161997861; -0.0250084655948; -0.0734768747146
24663.88280065348; 0.0772386981359; -0.0234821289155; -0.0735826481674
24668.30884351288; 0.0769861840854; -0.0220649788402; -0.0737564183567
24672.73488637229; 0.0768659511287; -0.0207400966473; -0.0740150176246
24677.1609292317; 0.0768308956569; -0.0195248839686; -0.074308582502
24681.58697209111; 0.0768745817755; -0.0183838828409; -0.0746440498289
24686.01301495051; 0.0769860113714; -0.0173355662149; -0.0750088267532
24690.43905780992; 0.0771501339337; -0.016358905537; -0.0753958180247
24694.86510066933; 0.0773618205976; -0.0154662294919; -0.0758000463817
24699.29114352874; 0.0776050771553; -0.0146301490433; -0.0762135600747
24703.71718638814; 0.0778783471658; -0.0138696069295; -0.0766333541018
24708.14322924755; 0.0781625255887; -0.0131494619536; -0.0770485045717
24712.56927210696; 0.07847101931; -0.0124850427353; -0.0774714436386
24716.99531496636; 0.0787962675678; -0.0118735376174; -0.0778965396348
24721.42135782577; 0.07911761681; -0.011297493307; -0.0783068575201
24725.84740068518; 0.0794451535999; -0.0107724714579; -0.0787114114293
24730.27344354459; 0.0797795723265; -0.010276822992; -0.0791148979004
24734.69948640399; 0.0801056444872; -0.00981286527303; -0.0795023392979
24739.1255292634; 0.0804367317654; -0.00938518431676; -0.0798873339926
24743.5515721228; 0.0807693637042; -0.00899002781154; -0.0802674872731
24747.97761498221; 0.0810906154795; -0.00862126264811; -0.0806310222507
24752.40365784162; 0.08140640517; -0.00826532692266; -0.0809857220352
24756.82970070103; 0.0817223636662; -0.00793657921758; -0.0813360647777
24761.25574356043; 0.0820365136676; -0.00763085878528; -0.0816808396684
24765.68178641984; 0.0823449483506; -0.00735014508651; -0.082016253792
24770.10782927925; 0.0826301133229; -0.0070728609941; -0.0823268502077
24774.53387213865; 0.0829317197974; -0.00681455714933; -0.0826512671374
24778.95991499806; 0.0832091707189; -0.00657846408783; -0.0829487185071
24783.38595785747; 0.0834915944356; -0.00634912165515; -0.0832498348082
24787.81200071688; 0.0837632889048; -0.00614387653166; -0.0835376642558
24792.23804357628; 0.0840257801244; -0.00594292171923; -0.0838153530504
24796.66408643569; 0.0842906854795; -0.00575228977655; -0.084094178282
24801.0901292951; 0.0845405521844; -0.00557365802007; -0.0843566197753
24805.5161721545; 0.0847880091967; -0.0054032351301; -0.0846156696698
24809.94221501391; 0.0850280465736; -0.00524435351414; -0.0848661620455
24814.36825787332; 0.0852670527424; -0.00509289364246; -0.0851148207877
24818.79430073273; 0.0854963307404; -0.00494606969824; -0.0853531426757
24823.22034359213; 0.0857204978012; -0.00480977464761; -0.0855854532682
24827.64638645154; 0.0859362891561; -0.00468375142819; -0.0858085559048
24832.07242931095; 0.0861494587128; -0.00455749274392; -0.0860288236371
24836.49847217035; 0.0863528213906; -0.00444294792741; -0.0862384483617
24840.92451502976; 0.0865587254206; -0.00432953268242; -0.0864503793698
24845.35055788917; 0.0867585292436; -0.00422781549658; -0.0866554555273
24849.77660074858; 0.0869534134966; -0.00411937657582; -0.0868557819338
24854.20264360798; 0.0871386874155; -0.00402672851517; -0.087045598981
24858.62868646739; 0.0873262294936; -0.0039283337796; -0.087237827525
24863.0547293268; 0.0875038316041; -0.00384361197943; -0.087419375383
24867.48077218621; 0.0876798983606; -0.00376088932118; -0.0875992025537
24871.90681504561; 0.0878525691269; -0.00367950578714; -0.0877754814248
24876.33285790502; 0.0880226480524; -0.00360177147286; -0.0879489272954
24880.75890076442; 0.0881883465435; -0.00353040637918; -0.0881176525838
24885.18494362383; 0.0883493206746; -0.00344908235812; -0.0882819703821
24889.61098648324; 0.0885104637258; -0.0033877308477; -0.0884456074018
24894.03702934265; 0.0886653949943; -0.00332435160392; -0.088603052746
24898.46307220205; 0.0888121176149; -0.00326206698673; -0.0887521895742
24902.88911506146; 0.0889653872377; -0.0031971313853; -0.0889079213414
24907.31515792087; 0.0891121976572; -0.00314179335584; -0.0890567959552
